Category,CoinSymbol,CoinName,addORremove
"Proof of Stake",ETH,Ethereum,add
"Proof of Stake",BNB,BNB,add
"Proof of Stake",ADA,Cardano,add
"Proof of Stake",DOT,Polkadot,add
"Proof of Stake",MATIC,Polygon,add
"Proof of Stake",BTS,BitShares,add
"Proof of Stake",TRX,TRON,add
"Proof of Stake",AVAX,Avalanche,add
"Proof of Stake",ALGO,Algorand,add
"Proof of Stake",XTZ,Tezos,add
"Proof of Stake",EOS,EOS,add
"Proof of Stake",HBAR,Hedera,add
"Proof of Stake",DCR,Decred,add
"Proof of Stake",ROSE,Oasis Network,add
"Proof of Stake",10SET,Tenset,add
"Proof of Stake",LUNA,Terra,add
"Proof of Stake",WAVES,Waves,add
"Proof of Stake",ONE,Harmony,add
"Proof of Stake",ICX,ICON,add
"Proof of Stake",ONT,Ontology,add
"Proof of Stake",HIVE,Hive,add
"Proof of Stake",LSK,Lisk,add
"Proof of Stake",QTUM,Qtum,add
"Zk Rollup",HEZ,Hermez Network,add
"Zk Rollup",SYS,Syscoin,add
"Zk Rollup",LRC,Loopring,add
"Zk Rollup",MUTE,Mute,add
"Zk Rollup",IMX,ImmutableX,add
"Zk Rollup",ZKX,ZKSpace,add
"Fractionalized NFT",DOG,The Doge NFT,add
"Fractionalized NFT",NFT,APENFT,add
"Fractionalized NFT",NFTX,NFTX,add
"Artificial Intelligence (AI)",PHB,Phoenix Global,add
"NFT Finance",JPEG,JPEG'd,add
"NFT Finance",X2Y2,X2Y2,add
"NFT Finance",MAGIC,Magic,add
"Curve Ecosystem",CRV,Curve DAO,add
"Curve Ecosystem",CVX,Convex Finance,add
"Curve Ecosystem",FXS,Frax Share,add
"Curve Ecosystem",AURA,Aura Finance,add
"Curve Ecosystem",BTRFLY,Redacted,add
"LSD Tokens",LDO,Lido Dao,add
"LSD Tokens",RPL,Rocket Pool,add
"LSD Tokens",FXS,Frax Share,add
"LSD Tokens",SSV,SSV Network,add
"Optimism Ecosystem",OP,Optimism,add
"Optimism Ecosystem",VELO,Velo,add
"Optimism Ecosystem",LYRA,Lyra Finance,add
"Optimism Ecosystem",SNX,Synthetic Network,add
"Artificial Intelligence (AI)",OCEAN,Ocean Protocol,add
"Artificial Intelligence (AI)",RLC,iExec RLC,add
"China Coins",FIL,Filecoin,add
"China Coins",ZIL,Zilliqa,add
"China Coins",NEO,NEO,add
"China Coins",VET,VeChain,add
"Storage",STX,Stacks,add
"Storage",GLM,Golem,add
"Layer 1",AVAX,Avalanche,add
"Layer 1",SOL,Solana,add
"Layer 1",FTM,Fantoma,add
"Layer 1",BNB,BNB,add
"Layer 1",MATIC,Polygon,add
"Layer 1",ATOM,Cosmos Hub,add
"Layer 1",ADA,Cardano,add
"Layer 1",ALGO,Algorand,add
"Layer 1",TRX,TRON,add
"Layer 1",APT,Aptos,add
"Privacy Coin",ROSE,Oasis Network,add
"Privacy Coin",PHA,Phala Network,add
"Retail",XRP,XRP,add
"Retail",ADA,Cardano,add
"Retail",DOGE,Dogecoin,add
"Retail",SHIB,Shiba Inu,add
"Dino Coins",LTC,Litecoin,add
"Dino Coins",DASH,Dash,add
"Dino Coins",NEO,NEO,add
"Dino Coins",XLM,Stellar,add
"Dino Coins",ETC,Ethereum Classic,add
"Dino Coins",EOS,EOS,add
"Dino Coins",DGB,DigiByte,add
"Dino Coins",XVG,Verge,add
"Zk Rollup",DUSK,DUSK Network,add
"Zk Rollup",MINA,MINA Protocol,add
"Zk Rollup",MATIC,Polygon,add
"Proof of Work",BTC,Bitcoin,add
"Proof of Work",DOGE,Dogecoin,add
"Proof of Work",LTC,Litecoin,add
"Proof of Work",ETC,Ethereum Classic,add
"Proof of Work",RVN,Ravencoin,add
"Proof of Work",KDA,Kadena,add
"Infrastructure",OCEAN,Ocean Protocol,add
"Infrastructure",HNT,Helium,add
"Infrastructure",BAT,Basic Attention,add
"Infrastructure",ENS,Ethereum Name Service,add
"Infrastructure",API3,API3,add
"Infrastructure",RLC,iExec RLC,add
"Infrastructure",OCEAN,Ocean Protocol,add
"Infrastructure",BAND,Band Protocol,add
"Metaverse",ILV,Illuvium,add
"Metaverse",GALA,GALA,add
"Metaverse",GMT,STEPN,add
"Metaverse",BNX,BinaryX,add
"Metaverse",CHZ,Chiliz,add
"Zk Rollup",CELR,Celr Network,add
"Zk Rollup",METIS,Metis,add
"Zk Rollup",XFT,Offshift,add
"POA",VET,VeChain,add
"POA",VTHO,VeThor,add
"POA",POA,Proof of Network,add
"POA",EWT,Energy Web,add
"China Coins",DENT,Dent,add
"China Coins",FLM,Flamingo Finance,add
"China Coins",CFX,Conflux,add
"China Coins",ACH,Alchemy Pay,add
"China Coins",KEY,SelfKey,add
"China Coins",QTUM,Qtum,add
"China Coins",QKC,QuarkChain,add
"China Coins",TVK,The Virtua Kolect,add
