Chain_Name,Chain_ID,Chain_Currency,Chain_Image_URL
Ethereum Mainnet,1,ETH,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_ethereum.jpg&w=32&q=75
Binance Smart Chain Mainnet,56,BNB,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_binance.jpg&w=32&q=75
Avalanche C-Chain,43114,AVAX,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_avalanche.jpg&w=32&q=75
Fantom Opera,250,FTM,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_fantom.jpg&w=32&q=75
Polygon Mainnet,137,MATIC,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_polygon.jpg&w=32&q=75
Cronos Mainnet Beta,25,CRO,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_cronos.jpg&w=32&q=75
Arbitrum One,42161,ETH,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_arbitrum.jpg&w=32&q=75
Klaytn Mainnet Cypress,8217,KLAY,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_klaytn.jpg&w=32&q=75
Harmony Mainnet Shard 0,1666600000,ONE,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_harmony.jpg&w=32&q=75
Metis Andromeda Mainnet,1088,METIS,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_metis.jpg&w=32&q=75
Huobi ECO Chain Mainnet,128,HT,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_heco.jpg&w=32&q=75
Aurora Mainnet,1313161554,ETH,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_aurora.jpg&w=32&q=75
Celo Mainnet,42220,CELO,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_celo.jpg&w=32&q=75
Optimism,10,ETH,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_optimism.jpg&w=32&q=75
Gnosis Chain (formerly xDai),100,xDAI,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_xdai.jpg&w=32&q=75
Theta Mainnet,361,TFUEL,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_theta.jpg&w=32&q=75
Moonriver,1285,MOVR,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_moonriver.jpg&w=32&q=75
Emerald Paratime Mainnet,42262,ROSE,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_oasis.jpg&w=32&q=75
Fusion Mainnet,32659,FSN,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_fusion.jpg&w=32&q=75
Telos EVM Mainnet,40,TLOS,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_telos.jpg&w=32&q=75
RSK Mainnet,30,RBTC,https://chainlist.org/_next/image?url=https%3A%2F%2Fdefillama.com%2Fchain-icons%2Frsz_rsk.jpg&w=32&q=75
